Hour_of_Day,Day_of_Week,Month,Consumption_Pattern,Voltage,Energy_Consumption_kWh
12,1,6,0,228,73.35336336
3,1,6,0,226,90.28053086
7,5,7,0,214,15.72556891
4,7,12,2,216,47.0441293
0,4,2,2,231,47.38946898
18,4,6,1,234,10.62611315
1,4,9,2,230,65.74921519
2,6,4,2,222,42.03780177
4,6,8,2,231,18.91735287
0,3,5,0,222,64.9368478
2,4,4,1,223,28.10376519
20,7,1,2,218,57.30043313
11,4,10,2,218,43.45299285
9,2,10,1,219,49.84110568
4,5,8,0,215,14.07295823
15,3,1,1,234,37.76250773
1,3,11,0,229,67.39175649
9,5,12,0,212,96.84327264
8,2,6,1,234,51.4872635
22,1,1,0,234,82.30234338
3,6,7,2,225,47.92357504
6,6,4,0,221,32.51794102
20,5,8,1,221,52.11526591
0,2,2,1,225,29.91316259
7,1,5,1,216,51.36521109
11,5,7,1,220,30.03199915
2,5,4,2,223,42.66528171
5,4,4,0,222,99.15146702
14,6,9,0,213,46.35986157
0,5,3,1,223,60.73216858
16,1,2,2,229,63.90910021
4,1,3,1,219,51.26598523
8,5,4,1,227,14.09359367
7,1,5,2,219,65.67760449
8,4,10,2,228,86.4220534
2,7,1,0,225,84.38610435
3,7,4,2,222,59.14118835
19,3,7,2,225,21.60707325
9,4,6,0,219,79.4358941
16,5,9,1,227,61.65956431
1,7,2,1,226,44.4075378
2,6,11,2,220,82.41315759
11,6,11,1,233,68.71703087
8,3,9,2,221,38.10552375
8,3,1,2,217,46.46945715
4,3,2,0,230,76.11791004
7,6,9,0,228,53.65497454
16,2,4,0,234,52.99301927
17,4,4,0,223,14.47644336
9,2,2,0,218,17.2118573
19,1,7,0,213,36.49237119
20,5,4,1,225,70.53176574
23,3,6,2,228,85.41517273
5,6,1,2,225,28.23377716
22,3,1,2,219,73.23370448
22,4,4,1,223,15.08258691
22,7,2,1,213,64.22741138
8,4,11,0,236,72.09613422
5,2,5,1,216,59.49158258
22,6,3,1,223,64.61449592
4,1,2,2,219,61.16168227
8,1,7,2,219,68.4582183
13,1,12,0,236,20.45243696
22,5,3,0,220,95.82310359
13,1,7,1,221,93.13285138
16,2,9,1,231,32.11854565
2,3,8,1,237,59.88633146
7,5,3,0,221,70.25514853
10,1,1,1,227,79.61372173
4,2,11,0,231,49.79140438
13,2,8,2,221,59.74326359
7,3,1,1,228,98.01408723
21,7,9,2,233,41.72210323
14,2,3,2,216,94.30866396
21,1,9,2,222,60.13829116
8,4,7,1,217,60.22714787
12,6,5,0,229,81.40999551
4,2,6,0,211,89.96124355
9,7,4,2,222,55.28677067
12,6,6,2,230,74.03247288
18,7,1,1,235,18.01513452
9,1,11,2,217,61.26137646
23,1,1,0,227,74.87979362
10,3,3,0,228,67.99786898
7,6,4,2,225,40.72918284
19,7,7,2,225,61.62801591
0,6,10,1,232,27.11337494
5,7,11,0,238,68.12645235
10,4,7,0,221,18.896468
8,4,7,0,226,35.83225737
16,5,2,2,229,24.25621149
18,4,11,2,222,12.82900236
5,1,5,1,220,28.53743874
7,1,8,2,230,60.54525874
4,5,1,2,227,75.64340604
12,2,4,2,225,33.77601754
15,4,2,2,225,32.53955828
4,2,5,0,221,67.830731
0,6,10,0,234,16.56219935
14,1,6,0,223,13.79167954
21,6,11,0,219,43.61542919
6,1,10,0,235,52.14684206
1,4,10,1,223,71.97617423
18,5,10,1,226,35.01460836
13,6,10,1,222,93.94208756
0,6,10,2,218,18.46518308
12,1,6,2,219,35.30362834
11,1,9,1,215,71.40188615
20,1,5,2,231,28.88680016
13,6,4,2,220,56.46468747
8,1,9,1,231,40.55468921
16,7,6,2,232,31.13025948
6,5,9,0,225,16.62267104
4,3,8,2,223,71.30362483
23,1,3,1,233,23.63985403
22,2,7,2,216,49.17146129
2,7,5,0,229,65.01974835
3,3,7,1,219,41.17111016
14,5,4,1,225,29.28152152
22,7,5,2,220,40.65333257
5,3,10,1,226,48.75474388
15,5,9,0,238,85.98770143
15,2,5,1,228,47.14288428
7,6,8,1,216,51.85371189
17,5,9,2,222,21.10494773
15,6,1,1,227,38.06094607
3,2,6,0,227,55.57030398
10,5,10,2,222,41.60680569
6,4,4,0,221,49.30842339
23,5,10,0,236,45.81394212
21,4,12,2,239,98.06955125
12,7,12,0,215,41.59934869
21,2,1,1,218,72.51305996
6,3,12,0,219,27.45694968
2,7,4,2,218,28.08071251
20,5,6,2,226,28.10948916
18,7,2,2,222,85.97682833
19,5,9,0,225,78.73161852
18,5,1,2,227,88.35451355
16,5,3,2,224,18.96202509
12,1,7,2,235,98.00684729
7,6,9,1,220,39.45724848
22,5,12,2,227,11.11130742
17,4,8,2,214,88.88185906
13,1,9,0,228,22.77074212
18,7,7,1,233,71.09512011
12,2,6,1,220,61.58483616
12,2,8,0,226,68.47587186
2,7,12,2,225,55.96492982
22,6,8,2,225,59.11212644
8,1,2,2,214,92.5788171
19,4,1,1,218,99.19108392
20,1,4,2,229,37.19877506
4,4,10,2,220,27.71733357
2,2,1,0,229,51.39231742
21,7,7,0,216,38.17894478
7,1,12,1,223,45.80351399
21,5,7,2,234,58.04076097
21,4,2,1,218,67.61413535
5,2,11,1,216,45.64067515
0,4,3,1,230,17.37152987
14,3,3,2,219,77.05764493
20,2,9,2,216,98.5417747
19,4,12,0,227,64.64590689
5,5,9,2,234,32.04590986
17,3,4,0,228,66.04875494
7,3,3,1,218,47.71427303
5,7,4,2,225,22.34590386
19,3,6,1,214,11.65296041
23,3,6,2,218,72.30589304
0,4,4,1,234,14.71632585
15,3,10,2,235,41.71603357
3,2,11,0,233,53.77923793
1,2,3,0,220,71.19098294
18,2,10,2,222,13.71676399
6,6,5,0,234,82.48379718
18,3,3,0,224,47.13042158
6,4,10,0,224,55.45898086
19,3,8,2,219,14.10323946
3,2,7,1,216,10.77631166
12,7,6,2,228,61.24892955
3,3,8,0,227,58.93770493
8,1,7,2,218,51.40843604
16,5,5,0,212,94.82958119
19,1,1,1,228,56.26677656
2,2,4,0,225,52.32962303
6,5,9,2,218,98.81017755
20,4,12,1,223,62.02648758
15,7,11,2,236,36.2430099
9,7,12,1,225,45.52539179
0,5,5,2,235,77.56405241
8,4,10,2,232,57.96430641
6,5,4,2,224,10.0260933
3,4,8,1,229,70.67504592
23,5,8,1,219,61.67612478
16,3,7,2,225,78.70177574
9,4,12,2,233,50.67040076
17,1,9,2,226,28.40271772
23,5,5,2,233,16.1376482
16,7,5,1,229,71.76994471
5,3,12,0,218,95.93417529
3,5,6,2,224,30.64626931
21,3,5,1,228,36.64890487
18,7,8,2,224,52.57181673
6,6,1,1,222,78.70327827
16,2,3,1,221,72.57629342
13,4,4,2,232,70.60749712
7,5,6,0,231,65.13342938
12,4,12,1,223,84.61522202
12,1,1,2,212,33.62342066
9,7,5,2,218,71.27121277
12,2,9,1,237,92.33483067
21,1,2,1,224,47.82744627
5,5,7,2,224,16.81481174
8,6,7,1,230,21.31238198
22,5,8,1,229,48.76410931
4,6,10,1,222,35.41398605
18,2,10,2,235,77.24315062
9,3,11,1,216,65.82231385
9,1,6,0,236,12.39520663
7,3,12,2,220,26.79955301
14,5,5,1,225,73.14487788
23,4,5,2,223,73.60960714
22,1,8,2,238,69.35522072
10,4,3,1,218,77.91964433
23,2,6,2,234,76.57047057
7,1,11,2,232,24.61775226
4,7,2,0,218,42.02468784
18,4,1,1,237,27.11692555
20,7,11,0,214,26.02286117
8,3,8,1,234,27.87604834
3,7,10,1,225,58.49525613
12,5,10,0,222,23.44762525
16,2,6,1,222,61.11133131
23,4,8,0,232,45.63323381
18,3,7,1,228,47.97081935
18,2,2,1,226,55.94149156
15,4,9,1,216,27.7223167
14,4,1,2,222,46.78423918
7,5,2,0,228,57.87664538
10,6,4,0,229,19.42475456
14,4,2,2,229,70.77940507
18,6,8,1,218,38.61567263
5,6,7,0,222,87.37982277
19,3,3,2,219,62.2083171
7,7,8,1,232,68.60839557
5,5,5,2,231,80.22145337
5,2,11,1,235,74.08135366
11,6,11,1,219,33.34482621
16,6,5,0,230,86.91342189
13,6,2,0,229,90.79272098
21,4,10,0,220,51.45888641
13,6,9,0,220,93.79262845
18,5,6,0,230,61.17183355
9,5,2,0,224,12.00878161
14,3,3,1,233,88.88141419
21,4,12,0,229,39.27079307
2,1,7,2,233,90.20292817
3,6,8,1,228,69.11949859
18,7,9,2,217,79.12324667
2,3,9,0,217,12.89053313
7,7,11,1,234,25.54817204
7,4,10,2,217,17.70405641
3,6,5,0,224,33.12465074
20,4,11,2,231,74.34597513
9,4,1,1,237,77.97964268
17,7,3,1,231,70.82120235
18,7,5,1,235,36.40726494
15,7,5,1,231,55.46769691
16,5,7,1,220,11.24739106
13,2,1,1,229,19.6045253
6,6,7,1,219,73.81734768
21,4,1,2,228,48.34315998
19,6,6,0,237,45.85616671
10,4,5,2,222,45.23358378
11,1,7,0,218,68.61316394
4,3,10,0,222,71.26348892
19,1,10,2,218,81.97402752
7,1,5,1,224,71.06187666
3,3,10,1,236,42.42601355
4,2,11,0,217,85.02383828
6,4,5,2,217,28.8340054
22,7,10,2,222,57.04877967
18,6,5,0,235,46.05711868
8,7,5,2,220,44.53843426
14,1,9,0,229,21.51638169
12,1,1,2,232,82.1509462
14,7,8,1,231,33.89065731
12,4,6,0,223,97.13334571
1,5,3,1,218,42.7320976
19,7,8,1,227,19.97618496
1,1,4,0,230,65.25999201
11,5,9,2,237,22.5620799
5,7,6,2,225,26.63406554
9,5,2,0,233,61.99041007
3,7,6,2,226,18.5775067
19,3,1,1,214,71.5178919
2,4,6,1,227,36.26036777
23,7,7,2,233,70.91096225
19,2,6,2,222,50.3775815
7,7,12,1,220,47.5538551
23,1,7,1,222,91.95118259
20,2,7,1,230,25.67901291
14,7,2,2,214,91.24303678
21,4,11,1,223,33.70186555
0,4,9,2,228,30.97788396
12,1,3,2,229,10.49596653
4,2,3,2,238,26.5004787
7,2,12,1,213,74.87855341
12,3,12,2,220,63.1456184
15,2,3,2,231,90.18718594
20,2,1,0,230,79.9821055
15,5,10,2,219,78.51856067
7,5,12,1,229,39.1922303
19,1,6,1,233,47.68925694
22,4,3,2,236,36.78115716
14,7,4,0,216,23.48076637
15,7,5,2,231,55.91368043
16,7,11,1,215,66.36237455
15,2,3,2,226,40.19260988
15,5,2,1,229,43.39915423
19,2,2,2,232,99.02222946
14,2,9,1,220,16.87956674
0,4,3,0,219,45.5388437
9,6,9,0,228,11.95449835
13,3,9,0,237,63.67866178
22,4,1,1,218,68.65357376
12,3,5,1,218,42.42215571
0,2,10,0,226,62.9689184
14,4,12,2,212,68.36038019
15,2,3,0,214,47.67432266
6,5,5,0,233,18.70454616
13,4,7,0,229,21.81699792
4,4,6,1,223,16.16763881
21,7,9,1,232,14.18586943
9,5,10,2,214,22.72418407
3,1,7,0,234,93.30837024
11,7,11,1,236,92.86699562
1,3,9,2,226,77.67911074
10,7,12,2,216,65.64198794
2,3,9,1,232,85.61226314
10,4,8,1,220,15.05135806
22,2,5,2,230,68.07123882
3,7,6,2,219,22.23387971
17,3,4,0,227,80.55312417
8,2,3,1,228,68.51326064
16,1,12,1,222,55.6385924
14,2,9,2,222,72.64780347
19,5,7,1,220,83.82730393
6,6,11,0,218,55.77069681
6,3,3,0,220,61.91709866
7,3,12,0,214,51.55043425
22,2,6,1,224,55.26710055
7,3,8,1,235,57.46873329
17,2,3,2,224,73.69367394
7,3,4,2,231,69.72042791
3,3,10,0,225,34.90430576
22,4,7,2,223,24.73424442
23,5,8,2,220,84.96858775
7,3,3,1,225,90.19326228
6,1,11,1,213,91.09680399
23,1,5,0,234,39.7506834
4,3,11,1,229,17.82734792
21,3,12,2,235,47.76831145
4,4,4,2,221,58.04881037
12,1,3,1,225,24.36677586
10,4,4,2,236,15.95033301
20,3,12,0,231,46.29809576
5,2,12,1,227,41.74404981
6,7,8,2,229,92.52045002
18,6,9,1,234,18.59052501
8,6,5,2,232,96.24544093
19,6,3,2,227,13.22805053
7,6,10,2,230,46.07217026
6,5,6,1,216,37.16140661
7,1,6,1,229,58.68301221
3,7,4,2,216,30.91771753
22,4,12,0,232,14.79669998
3,2,9,1,213,80.32864767
16,6,8,1,220,96.64128226
8,1,7,2,234,64.82449585
8,6,5,1,218,63.69458491
7,6,10,0,228,94.60212568
7,3,7,0,225,43.35156006
11,3,3,1,225,13.71176658
15,4,12,0,225,67.24617053
6,5,9,1,223,70.94094434
4,6,4,2,230,59.56942247
9,3,3,2,219,12.40613624
3,6,10,0,227,49.83387024
19,7,12,0,234,45.11871522
5,1,1,1,220,60.49774747
18,6,6,2,237,43.23745653
12,4,4,0,237,77.12036165
12,4,6,2,235,18.72627754
6,4,9,1,227,73.08271995
22,5,9,2,232,22.17807843
2,3,5,2,218,37.53992799
16,3,1,0,225,39.71046228
11,2,11,1,220,87.16449872
8,5,8,0,238,24.5081157
8,1,8,0,222,35.45551728
13,3,9,1,219,23.23663282
18,4,9,2,219,37.37845641
22,7,9,0,217,78.23173429
10,5,8,0,225,40.60493897
10,2,6,0,225,60.67254672
22,5,10,0,231,60.37352999
19,5,1,0,223,52.99904216
22,5,9,0,223,27.47023119
10,2,8,2,222,71.49612306
4,6,4,1,220,48.30270304
4,6,12,0,220,88.45280987
18,2,11,2,219,52.97517008
6,3,7,1,217,32.41216902
0,3,8,2,228,64.1463065
20,2,4,1,225,22.77029014
12,5,11,0,238,21.45769374
15,6,8,1,217,15.74560772
15,7,11,1,231,92.63749267
20,6,8,0,231,10.86966213
6,3,10,0,224,32.39150335
19,2,1,1,223,54.74971103
21,6,12,2,219,96.94615436
18,4,12,2,230,28.19753464
4,3,11,0,215,58.44104976
21,3,1,0,219,15.35447249
21,1,3,2,222,89.73153101
0,1,1,0,219,49.35904306
14,1,5,1,217,54.1698516
13,3,6,1,219,21.31718127
21,6,8,2,229,93.29222026
18,3,4,2,218,22.7415027
7,1,5,2,212,91.35381473
1,4,5,1,216,80.53613172
9,7,11,1,225,54.2161483
5,2,12,2,233,40.61352892
21,7,7,2,230,80.88709668
9,1,12,1,236,82.13092167
21,3,5,0,224,57.47057908
12,6,8,2,225,64.91820164
11,5,7,0,233,55.20126984
13,3,10,0,233,42.48723349
19,1,11,2,222,52.10187324
4,7,8,1,232,82.03796078
12,4,3,2,215,28.37865382
7,6,11,0,231,42.55069519
9,6,7,1,216,61.77751319
6,5,12,2,213,24.01422596
2,3,3,0,228,49.24527576
12,5,2,2,236,50.89557446
19,4,11,1,217,51.84393763
13,6,5,0,231,78.79771924
2,4,3,0,230,55.76334013
11,2,9,2,233,95.89898665
19,2,8,0,232,63.57316707
18,2,11,0,232,38.07236858
6,5,6,2,225,58.28605377
0,1,6,0,237,72.39975912
18,7,5,2,220,21.27038589
7,6,1,1,222,42.25748412
1,3,7,0,226,55.39165116
16,5,3,1,230,95.77133
7,4,12,1,219,26.73973733
7,2,9,2,231,34.80066154
3,2,5,1,226,84.91787206
7,5,11,0,227,22.95220116
13,5,4,0,213,99.46453624
13,7,3,2,228,53.00645982
8,6,2,0,226,21.8659576
0,1,1,1,220,33.64309848
7,4,4,1,233,25.01536083
18,1,7,0,225,56.12586343
14,5,6,0,217,59.36864739
22,3,11,2,233,71.73363148
9,2,6,1,222,20.02299741
10,5,7,1,233,10.09178953
22,7,8,1,220,91.8783809
23,3,10,2,234,85.54381999
13,5,3,0,233,37.85355805
17,1,6,1,234,27.1809128
17,6,8,2,223,53.10082523
8,5,11,0,230,70.56283313
6,5,3,2,219,93.79697475
0,7,3,1,228,53.18967896
23,1,6,0,219,37.98317362
18,3,1,0,229,16.03992921
14,3,11,1,225,33.9951693
5,2,3,1,229,14.81008017
17,2,8,2,217,15.06265885
7,1,3,2,227,78.94710235
3,4,11,2,227,69.28928982
3,3,5,0,233,54.99281626
8,4,4,2,226,74.63008224
8,4,1,2,228,49.57298707
21,4,5,1,228,63.19664109
12,3,5,0,219,85.55961581
2,1,11,0,227,80.65477018
0,5,5,1,235,82.5957862
15,4,1,2,228,66.31713589
14,1,3,2,212,10.52139399
22,6,10,2,212,45.57799583
22,2,12,1,215,14.26585662
1,5,8,1,233,51.16347502
20,3,12,2,227,22.425864
16,4,7,2,221,22.33250535
14,7,5,0,232,72.5051412
21,2,5,0,229,44.7151753
1,4,3,2,219,96.51706559
13,5,4,1,222,21.10770988
22,7,4,2,222,82.42234502
23,7,4,1,212,34.24604965
11,3,2,0,222,35.71942288
8,1,5,1,230,89.93961188
8,5,8,2,217,24.08992023
15,2,11,1,225,89.6056374
8,6,10,0,225,88.80512886
9,2,8,1,217,53.05564261
14,5,3,0,233,91.6901647
12,6,6,2,218,51.32720548
6,7,9,0,234,76.75896161
14,1,5,0,231,60.81149436
21,2,4,1,223,44.52607775
23,7,8,2,221,42.03373518
3,5,2,0,232,34.84567474
2,3,4,1,228,48.56725947
0,2,7,2,219,15.04509266
9,1,11,1,228,35.61753467
11,1,12,1,238,95.16113619
6,7,6,2,212,80.91064321
9,4,8,2,230,73.00452127
3,7,10,1,226,82.41314166
1,7,5,2,216,13.47090925
7,7,4,1,230,65.7570882
4,1,10,2,224,28.06197568
3,6,7,0,219,31.53210336
21,2,1,1,233,67.89952914
15,7,2,1,215,19.18845363
18,6,5,0,231,98.89009765
9,2,12,1,229,83.51464143
12,6,12,2,230,64.0868941
12,4,6,2,226,26.98129839
5,3,8,2,220,40.35557941
6,3,11,1,227,47.45367081
9,7,7,2,231,19.77979828
12,2,7,0,230,39.23682537
11,7,6,1,232,41.15442901
5,3,2,2,217,20.15864079
14,1,8,2,219,78.40667829
0,4,6,1,220,85.38710471
21,6,6,2,236,73.42835921
23,6,8,1,224,18.99355759
10,6,4,1,220,78.51776125
6,6,4,1,212,70.3233183
4,2,12,2,229,60.44751295
5,1,11,1,226,97.48254775
4,5,10,0,232,92.2221758
12,5,8,1,228,63.77210927
8,3,6,2,219,15.32709198
4,1,9,2,222,20.69097638
18,3,9,1,232,89.73724686
7,2,3,1,230,50.76648343
21,1,4,1,217,82.34745457
21,1,7,2,218,17.84381902
14,2,8,1,230,91.39671989
19,6,8,1,219,29.59272719
19,2,5,1,218,23.64978607
8,7,1,0,231,26.69201838
7,1,1,1,234,85.58738417
15,7,1,2,238,61.29913769
15,7,10,1,215,80.9635438
10,2,12,1,217,54.15338676
13,2,11,1,229,29.63005076
11,1,6,0,220,94.19695309
