Hour_of_Day,Day_of_Week,Month,Consumption_Pattern,Voltage,Line_Voltage,Apparent_Power,Energy_Consumption_kWh,Television,Dryer,Oven,Microwave,Refrigerator,Datetime,Transaction_ID
18,5,5,1,231,233,1761,48.6513684,0,0,1,0,0,5/27/2022 18:28,30061
6,1,12,2,237,237,1589,65.5804731,1,1,0,1,0,12/14/2020 6:36,11928
6,5,8,2,230,232,1835,10.59893474,0,1,0,0,0,8/4/2023 6:45,44907
12,5,5,1,229,237,1698,29.73823826,0,0,1,1,0,5/8/2020 12:58,4403
12,3,7,0,222,228,1753,60.93346558,1,1,1,1,0,7/8/2020 12:16,6491
18,1,10,2,217,223,1906,19.46657506,0,0,0,1,0,10/25/2021 18:54,22733
3,3,1,1,220,229,1577,62.2827048,1,0,0,0,1,1/13/2021 3:32,12951
19,4,11,1,230,233,1818,62.4109562,0,1,1,1,1,11/10/2022 19:49,35782
21,3,7,1,225,234,1510,72.53014818,0,0,0,1,1,7/22/2020 21:47,6984
22,3,6,2,220,220,1944,73.31970181,1,1,0,0,0,6/29/2022 22:35,31197
5,1,2,0,224,233,1701,25.50959266,0,1,1,1,0,2/28/2022 5:36,27029
3,6,9,2,221,225,1531,66.48110251,1,1,0,0,1,9/24/2022 3:23,34149
23,1,9,2,217,226,1757,55.12763916,0,1,0,0,1,9/19/2022 23:10,34006
5,2,6,2,221,224,1539,54.60222225,1,1,0,1,0,6/8/2021 5:00,17953
7,7,7,2,234,237,1946,62.7706629,0,0,0,0,0,7/23/2023 7:25,44497
23,1,9,0,220,225,1744,79.14521479,1,1,1,1,1,9/14/2020 23:41,8836
2,2,2,0,217,220,1961,60.06843594,1,1,1,0,1,2/8/2022 2:44,26340
22,7,8,0,218,221,1653,28.79236375,1,0,1,1,0,8/6/2023 22:31,44998
9,7,2,2,219,228,1671,95.49251938,1,1,0,1,1,2/13/2022 9:35,26521
3,6,10,1,218,221,1730,69.11149659,1,0,0,1,1,10/28/2023 3:19,47813
23,6,10,2,236,237,1850,39.40584394,1,1,0,0,1,10/30/2021 23:38,22911
19,5,4,2,230,235,1901,41.44927172,1,0,0,1,0,4/29/2022 19:05,29103
0,2,10,2,223,226,1760,44.3115193,1,1,0,1,1,10/25/2022 0:09,35206
22,1,8,1,229,238,1921,78.96821192,1,0,0,1,1,8/24/2020 22:24,8115
1,4,2,2,233,233,1868,31.8985369,0,1,0,1,1,2/25/2021 1:44,14421
6,1,4,1,220,227,1713,95.77571375,0,0,1,1,1,4/5/2021 6:55,15764
12,1,6,0,234,234,1602,94.24376185,1,1,1,1,1,6/22/2020 12:14,5943
12,7,10,2,235,239,1799,20.67318504,0,1,0,1,1,10/9/2022 12:01,34675
21,4,5,1,220,224,1886,81.33631168,1,0,0,0,1,5/27/2021 21:47,17566
6,3,8,2,221,225,1678,51.1568632,1,0,0,1,0,8/24/2022 6:38,33092
23,6,7,0,232,233,1990,80.86693776,1,1,1,0,1,7/15/2023 23:30,44246
23,2,6,0,226,233,1867,42.68406254,0,1,1,0,0,6/2/2020 23:23,5274
7,2,5,1,217,223,1946,36.20729277,1,0,1,1,1,5/10/2022 7:22,29463
5,3,9,1,215,222,1960,27.1142412,1,0,1,1,1,9/27/2023 5:09,46754
19,7,4,1,231,238,1929,29.66931786,0,0,1,0,1,4/17/2022 19:45,28693
23,4,12,0,217,225,1654,88.17983878,1,1,1,1,1,12/9/2021 23:45,24281
12,1,8,2,229,235,1561,90.35500428,1,1,0,1,1,8/10/2020 12:54,7622
0,6,5,1,238,239,1562,48.49682018,0,0,1,0,0,5/29/2021 0:25,17604
11,2,10,2,229,234,1787,50.27251217,0,0,0,0,0,10/3/2023 11:07,46968
6,4,1,2,220,221,1544,52.36964684,1,1,0,0,0,1/20/2022 6:00,25694
5,7,11,1,237,238,1978,71.43243776,0,0,1,1,1,11/21/2021 5:08,23638
6,7,10,1,214,221,1828,36.5703743,0,0,0,0,1,10/23/2022 6:06,35146
23,3,6,2,227,234,1597,76.7208617,1,1,0,0,1,6/9/2021 23:03,18013
9,6,2,2,223,230,1743,64.81633435,0,0,0,1,0,2/19/2022 9:15,26726
14,5,1,1,237,237,1943,59.05389663,0,0,1,1,0,1/1/2021 14:01,12555
11,7,1,1,224,231,1558,17.84200266,1,0,1,0,1,1/12/2020 11:25,394
7,3,11,1,228,234,1862,54.27740933,1,0,1,0,1,11/11/2020 7:23,10799
7,5,10,2,222,229,1664,74.26856687,1,1,0,0,0,10/9/2020 7:28,9669
21,7,6,2,223,230,1532,60.59314199,0,1,0,0,0,6/19/2022 21:30,30853
3,6,10,0,219,221,1652,58.30309897,1,0,1,1,0,10/15/2022 3:16,34868
23,2,12,0,223,232,1739,46.58479739,1,0,1,1,0,12/13/2022 23:57,36918
23,3,1,1,218,225,1760,21.83501006,0,0,0,0,1,1/5/2022 23:18,25205
13,5,12,1,221,225,1650,59.87691659,0,0,1,0,1,12/10/2021 13:46,24301
4,4,3,1,230,232,1606,80.4857999,1,0,1,1,1,3/26/2020 4:58,2919
8,5,7,2,227,236,1981,93.42584477,1,1,0,1,0,7/17/2020 8:37,6794
9,3,3,1,216,220,1925,96.78151447,0,0,1,0,1,3/25/2020 9:21,2891
7,3,2,2,229,238,1520,88.2502557,1,0,0,0,0,2/17/2021 7:19,14155
17,7,4,0,220,222,1698,27.95305328,0,1,1,0,0,4/16/2023 17:18,41155
5,7,9,2,223,224,1547,18.79520997,0,0,0,0,0,9/24/2023 5:40,46652
11,6,8,0,212,220,1571,21.69474382,1,1,1,1,1,8/8/2020 11:50,7552
16,5,10,1,219,220,1549,92.430027,1,0,0,1,1,10/22/2021 16:37,22627
17,6,12,1,228,237,1616,40.56207623,1,0,1,0,1,12/24/2022 17:51,37286
19,4,6,0,228,235,1893,78.14247174,1,1,1,0,1,6/22/2023 19:46,43453
18,7,6,2,219,223,1611,58.47352921,0,1,0,1,1,6/7/2020 18:19,5438
12,3,3,2,219,223,1964,17.48304112,1,0,0,1,0,3/2/2022 12:57,27108
0,5,7,2,223,227,1746,71.22106493,0,1,0,1,0,7/2/2021 0:52,18769
22,3,5,1,217,220,1740,47.76063983,0,0,0,1,1,5/12/2021 22:58,17054
2,7,10,1,217,224,1901,70.48062116,1,0,1,0,1,10/15/2023 2:03,47366
13,1,11,1,230,232,1971,39.46578006,1,0,1,1,1,11/23/2020 13:01,11218
10,5,6,2,235,238,1900,51.75069685,0,0,0,1,0,6/30/2023 10:40,43714
10,2,10,1,233,233,1686,60.87348671,0,0,0,0,1,10/5/2021 10:26,22036
4,5,9,2,222,229,1787,30.802844,1,1,0,0,1,9/29/2023 4:48,46822
9,4,10,0,232,232,1883,66.63773275,1,1,1,0,1,10/1/2020 9:32,9398
18,5,1,1,214,222,1854,99.35711974,0,0,0,0,1,1/24/2020 18:27,815
9,1,2,0,218,222,1946,16.41711207,1,1,1,1,1,2/20/2023 9:57,39261
8,4,7,2,222,229,1509,30.91751421,1,0,0,0,0,7/29/2021 8:08,19704
6,7,8,1,220,220,1944,70.53655475,0,0,1,1,1,8/28/2022 6:38,33229
23,7,3,2,226,234,1967,14.56016278,1,0,0,1,0,3/12/2023 23:19,39965
6,6,4,2,233,236,1600,60.18996334,0,1,0,0,0,4/17/2021 6:15,16174
17,4,2,2,222,222,1853,93.1095873,0,0,0,1,0,2/9/2023 17:27,38895
6,3,2,1,220,220,1581,58.63261695,0,1,1,1,1,2/1/2023 6:55,38606
9,2,3,2,237,238,1693,77.05320218,0,1,0,1,0,3/23/2021 9:52,15323
3,6,1,0,224,231,1786,41.94058819,1,1,1,1,1,1/25/2020 3:34,828
0,2,4,1,234,237,1757,40.26989651,1,0,0,0,1,4/7/2020 0:06,3323
19,7,7,1,235,236,1586,93.89907627,0,0,1,1,0,7/5/2020 19:06,6398
17,3,10,0,221,221,1607,32.1745133,0,1,1,1,0,10/27/2021 17:51,22800
22,1,4,2,221,224,1726,39.52223773,1,1,0,1,1,4/26/2021 22:14,16505
8,5,7,2,227,235,1680,61.51639834,1,1,0,0,0,7/7/2023 8:04,43950
20,3,11,1,216,224,1860,35.60401167,1,0,1,0,1,11/4/2020 20:30,10578
22,5,6,2,220,225,1736,91.63127526,1,1,0,1,0,6/24/2022 22:45,31026
1,7,7,2,236,238,1757,71.30728834,1,1,0,1,0,7/19/2020 1:16,6852
19,7,2,0,238,238,1834,29.58206691,0,1,1,0,0,2/21/2021 19:14,14309
7,7,8,1,225,233,1848,41.04990789,0,0,1,1,0,8/29/2021 7:42,20765
23,6,9,0,225,233,1887,91.03943071,1,1,1,0,1,9/24/2022 23:43,34178
0,5,1,2,220,221,1829,17.46466885,0,1,0,0,1,1/17/2020 0:44,550
6,3,2,1,216,223,1823,90.41655225,0,0,0,1,1,2/17/2021 6:37,14154
4,7,11,1,214,221,1802,72.8006285,0,1,1,0,1,11/12/2023 4:14,48328
4,3,1,1,224,225,1834,13.13926076,0,0,1,0,0,1/6/2021 4:02,12712
4,3,11,1,222,228,1723,35.42596408,0,0,1,0,0,11/25/2020 4:16,11274
12,4,6,1,231,234,1965,40.49161136,1,0,0,0,1,6/23/2022 12:24,30977
16,3,6,2,231,232,1931,13.52199327,0,1,0,0,1,6/24/2020 16:05,6017
0,6,11,1,230,231,1564,17.28925313,0,0,1,0,0,11/28/2020 0:15,11371
4,3,10,2,232,235,1933,67.85994194,1,0,0,0,0,10/11/2023 4:50,47233
22,7,11,2,221,222,1999,58.77144025,0,0,0,1,0,11/19/2023 22:39,48594
7,1,7,2,226,227,1669,93.33642932,0,0,0,1,0,7/24/2023 7:56,44532
9,2,3,1,214,220,1705,26.02943596,0,0,0,0,1,3/7/2023 9:28,39774
4,3,6,0,230,238,1628,73.94806663,1,1,1,1,0,6/3/2020 4:17,5281
11,7,2,1,222,226,1633,90.69732359,1,0,0,0,1,2/23/2020 11:53,1833
12,1,5,2,227,235,1827,34.08066389,1,1,0,0,0,5/8/2023 12:06,41901
6,6,7,2,218,227,1725,58.99358511,0,0,0,1,0,7/4/2020 6:39,6346
9,5,4,0,217,226,1777,26.68036728,1,1,1,0,0,4/3/2020 9:12,3199
0,2,11,0,233,238,1960,15.4328898,1,1,1,0,1,11/23/2021 0:35,23700
12,4,1,0,218,222,1752,84.28711109,1,1,1,0,1,1/30/2020 12:31,1012
3,3,12,1,229,231,1508,30.90076715,0,0,1,1,0,12/30/2020 3:51,12472
9,1,3,1,229,238,1612,32.88811425,0,1,1,1,1,3/6/2023 9:38,39740
17,1,3,0,216,224,1861,81.29046793,1,1,1,1,1,3/8/2021 17:21,14820
7,2,2,2,226,231,1894,65.5397142,0,1,0,1,1,2/7/2023 7:59,38813
22,5,5,2,235,236,1791,14.14454727,0,1,0,0,1,5/7/2021 22:26,16882
15,3,9,1,232,233,1929,11.94523046,0,0,1,0,1,9/21/2022 15:07,34063
15,7,3,2,213,220,1854,99.34045559,1,1,0,0,1,3/19/2023 15:49,40194
13,4,8,1,224,227,1593,40.71787762,1,0,1,0,1,8/27/2020 13:28,8205
11,2,2,0,229,237,1785,56.51160482,0,1,1,0,0,2/28/2023 11:22,39537
8,1,3,1,232,236,1854,30.39536658,0,0,1,0,1,3/27/2023 8:07,40457
23,6,7,2,227,231,1729,36.17171196,0,1,0,0,0,7/3/2021 23:07,18835
4,1,7,1,223,232,1812,67.65307766,1,0,0,0,1,7/3/2023 4:33,43808
9,1,3,2,238,238,1510,66.71045103,1,1,0,0,0,3/8/2021 9:39,14809
5,2,4,1,228,236,1538,72.73435348,0,0,0,1,1,4/27/2021 5:14,16515
5,7,10,1,215,222,1529,31.8483125,0,0,1,0,1,10/3/2021 5:52,21961
12,3,7,0,217,225,1973,98.58974325,0,1,1,1,0,7/28/2021 12:30,19676
5,1,11,1,219,225,1940,19.02135042,0,1,1,0,1,11/14/2022 5:49,35899
4,5,10,2,226,229,1828,15.63423652,1,1,0,0,0,10/1/2021 4:49,21891
12,3,6,2,221,227,1724,93.74190253,0,0,0,1,0,6/8/2022 12:11,30463
15,5,9,2,227,229,1793,38.8549774,0,0,0,0,0,9/11/2020 15:05,8721
11,4,2,0,220,227,1564,87.97440653,1,0,1,0,0,2/4/2021 11:39,13716
15,4,12,1,220,226,1788,85.97161058,1,0,0,0,1,12/8/2022 15:42,36735
6,5,1,2,224,228,1895,26.96355421,0,0,0,0,0,1/10/2020 6:09,318
4,6,2,1,230,234,1567,83.60682639,0,1,1,0,1,2/19/2022 4:20,26719
14,3,1,2,232,238,1697,15.05266982,0,1,0,1,1,1/13/2021 14:45,12967
16,2,5,2,219,221,1772,70.65109754,0,1,0,1,0,5/30/2023 16:43,42661
14,3,4,1,235,237,1966,67.37423128,0,0,0,1,1,4/7/2021 14:17,15843
14,5,5,2,223,227,1845,54.50462727,0,1,0,0,1,5/28/2021 14:37,17590
10,6,7,2,223,229,1826,25.48593192,0,0,0,1,0,7/4/2020 10:10,6351
21,6,12,2,224,225,1895,78.63704848,0,1,0,0,0,12/25/2021 21:42,24826
5,2,8,1,215,221,1995,98.61540105,0,0,1,1,0,8/25/2020 5:24,8125
5,7,12,2,228,230,1893,40.8619626,0,1,0,0,0,12/12/2021 5:01,24357
21,1,9,1,220,225,1599,34.42461911,0,0,0,0,1,9/13/2021 21:56,21299
22,3,11,2,213,221,1954,41.80063017,1,0,0,1,0,11/3/2021 22:57,23047
21,7,3,0,221,226,1746,16.75108532,0,1,1,0,0,3/1/2020 21:11,2086
20,7,8,2,225,227,1594,26.3491933,1,1,0,1,1,8/13/2023 20:37,45235
18,5,11,1,227,229,1942,53.98298698,0,0,1,0,0,11/17/2023 18:47,48520
4,4,3,0,233,235,1883,70.22382781,1,1,1,0,1,3/30/2023 4:48,40555
23,7,4,1,228,235,1578,88.76743981,0,0,0,0,1,4/24/2022 23:27,28938
19,3,11,0,233,233,1798,71.93793572,1,1,1,0,0,11/8/2023 19:38,48213
8,5,3,0,221,221,1649,52.33408312,1,0,1,1,0,3/3/2023 8:45,39636
21,1,3,0,225,230,1871,46.75764248,1,1,1,0,1,3/30/2020 21:48,3080
6,1,7,0,232,234,1950,75.23168621,0,1,1,0,0,7/25/2022 6:54,32065
2,5,4,1,225,231,1854,43.86613055,1,0,1,1,1,4/7/2023 2:43,40826
22,5,4,1,227,234,1544,79.87825336,0,0,0,1,1,4/15/2022 22:54,28629
23,4,9,0,226,233,1768,62.0122317,1,1,1,0,1,9/28/2023 23:54,46815
23,1,4,1,224,230,1813,52.40076891,0,0,0,1,1,4/13/2020 23:35,3562
0,7,10,2,213,222,1897,88.19298048,1,1,0,1,1,10/17/2021 0:39,22433
15,3,9,2,231,235,1527,15.02776709,1,1,0,0,1,9/29/2021 15:40,21838
4,5,11,2,238,238,1656,21.95525668,1,0,0,1,0,11/19/2021 4:05,23568
10,7,6,0,230,234,1939,71.71280067,1,1,1,1,1,6/27/2021 10:50,18612
19,4,7,0,214,223,1774,91.3429263,0,1,1,1,0,7/6/2023 19:27,43932
0,5,2,1,214,220,1669,41.0086757,1,0,0,1,1,2/26/2021 0:51,14454
6,3,6,1,223,223,1731,56.06323626,0,0,1,1,1,6/8/2022 6:35,30455
8,2,10,1,221,223,1865,87.9138098,0,0,0,0,1,10/13/2020 8:10,9807
6,3,6,2,220,224,1975,35.37107699,0,1,0,1,0,6/30/2021 6:49,18709
10,6,10,1,228,235,1633,33.76233265,0,1,1,1,1,10/15/2022 10:59,34879
11,2,11,0,224,229,1641,50.78199208,1,1,1,0,1,11/8/2022 11:03,35701
22,4,5,1,221,221,1550,71.39491005,0,0,0,1,1,5/12/2022 22:27,29553
6,3,4,2,229,232,1682,51.02370999,0,0,0,0,0,4/28/2021 6:28,16551
16,7,3,0,229,229,1824,65.26974447,1,0,1,0,0,3/6/2022 16:28,27250
11,2,8,0,227,236,1512,32.45302011,1,0,1,1,0,8/23/2022 11:00,33064
17,5,12,2,230,235,1662,10.88820665,1,0,0,1,0,12/17/2021 17:28,24546
21,5,3,1,230,234,1919,81.63609344,1,0,1,0,1,3/26/2021 21:58,15443
5,7,5,1,214,220,1836,47.38472789,1,0,1,0,1,5/28/2023 5:51,42577
13,6,7,2,236,236,1648,12.30728035,1,1,0,0,0,7/11/2020 13:10,6595
21,6,11,1,226,231,1746,99.76882896,0,0,0,1,1,11/20/2021 21:25,23627
8,5,12,2,227,236,1769,70.61074778,0,1,0,0,1,12/11/2020 8:31,11828
6,4,8,2,230,231,1932,53.7000564,0,1,0,1,0,8/26/2021 6:49,20661
6,1,11,0,220,228,1934,93.23011081,0,1,1,0,0,11/28/2022 6:54,36380
22,1,12,1,225,234,1960,18.60781931,0,0,0,0,1,12/20/2021 22:34,24656
10,3,7,2,227,231,1887,69.50147241,1,1,0,1,1,7/29/2020 10:45,7208
8,6,8,1,229,234,1507,90.88902104,1,0,1,0,1,8/27/2022 8:55,33198
10,5,10,2,232,237,1777,68.42785094,0,0,0,1,0,10/7/2022 10:58,34605
1,6,6,0,220,229,1853,39.79404021,1,1,1,1,0,6/17/2023 1:00,43255
14,4,8,0,231,239,1833,37.9347362,1,1,1,1,0,8/4/2022 14:59,32419
22,7,6,0,232,235,1556,85.40290277,1,1,1,0,1,6/4/2023 22:10,42840
20,7,5,2,223,226,1910,69.35343415,1,0,0,1,0,5/3/2020 20:51,4243
7,4,12,1,218,220,1766,63.56951819,0,0,1,0,0,12/8/2022 7:59,36724
13,5,2,1,237,237,1634,62.39018334,0,0,1,0,1,2/5/2021 13:35,13753
6,7,4,2,214,222,1714,12.06144304,0,0,0,0,0,4/24/2022 6:38,28914
0,4,12,1,224,224,1619,95.3637803,1,0,1,1,1,12/30/2021 0:31,24967
11,2,5,0,231,233,1661,76.59373906,1,0,1,1,0,5/10/2022 11:35,29469
14,2,6,1,228,228,1714,76.50077567,0,0,1,0,0,6/23/2020 14:10,5980
14,6,1,1,233,239,1669,60.01143491,1,0,0,1,1,1/23/2021 14:25,13309
22,7,7,1,212,220,1920,19.15682321,0,1,1,1,1,7/19/2020 22:18,6882
2,4,3,2,215,223,1929,78.57558787,0,1,0,1,0,3/5/2020 2:17,2196
22,7,8,2,218,221,1897,17.95308157,0,1,0,1,0,8/15/2021 22:01,20306
18,2,1,1,225,229,1726,58.75723858,0,0,1,0,1,1/19/2021 18:37,13178
18,3,10,0,220,220,1536,19.23674273,0,1,1,1,0,10/12/2022 18:30,34787
12,1,1,1,234,238,1664,30.85458624,1,0,0,0,1,1/11/2021 12:59,12896
21,6,7,1,222,225,1649,37.48009991,1,0,1,0,1,7/25/2020 21:16,7086
4,2,8,1,216,223,1954,47.20489708,0,0,1,1,1,8/31/2021 4:33,20829
2,4,7,1,226,232,1976,51.85674434,0,0,1,0,0,7/27/2023 2:31,44627
14,6,5,1,238,238,1800,34.90498043,1,0,1,0,1,5/28/2022 14:47,30090
5,6,1,2,218,221,1576,86.81383625,1,1,0,0,1,1/2/2021 5:26,12577
10,2,2,0,224,232,1556,97.92888274,1,1,1,1,0,2/25/2020 10:50,1900
5,2,10,0,230,233,1913,69.96004296,1,1,1,1,1,10/6/2020 5:53,9564
4,3,11,2,224,227,1768,85.14365897,1,1,0,0,0,11/18/2020 4:04,11034
23,6,7,2,224,225,1758,40.18058897,0,1,0,1,0,7/31/2021 23:12,19794
21,7,5,1,218,227,1638,30.67155792,0,0,1,0,1,5/15/2022 21:56,29655
7,2,12,0,224,224,1785,40.7951065,1,1,1,0,0,12/6/2022 7:38,36655
7,1,1,2,226,231,1899,42.59852424,0,0,0,1,0,1/2/2023 7:53,37580
2,5,12,1,230,238,1980,80.4573063,1,0,1,1,1,12/24/2021 2:57,24765
4,6,10,2,224,230,1745,96.95533953,1,0,0,1,0,10/28/2023 4:43,47815
16,4,6,1,224,225,1908,82.24931039,1,0,1,0,1,6/25/2020 16:37,6052
18,4,1,1,226,232,1701,24.09110504,0,1,1,1,1,1/21/2021 18:16,13246
16,4,7,0,231,237,1917,98.73353389,1,1,1,0,1,7/23/2020 16:42,7011
14,3,11,2,229,234,1926,25.00510532,0,0,0,0,0,11/15/2023 14:56,48446
11,6,5,0,222,224,1602,62.30151661,1,0,1,0,0,5/7/2022 11:24,29366
10,5,10,2,232,238,1774,33.39683173,1,0,0,1,0,10/1/2021 10:25,21899
23,2,3,2,234,234,1739,69.23399864,0,1,0,1,1,3/31/2020 23:44,3117
3,4,12,2,217,224,1897,99.92879821,0,0,0,0,0,12/30/2021 3:19,24971
4,3,9,1,219,225,1519,71.85866084,0,0,1,0,0,9/15/2021 4:46,21343
2,5,11,1,225,231,1768,41.44205119,0,1,1,0,1,11/11/2022 2:50,35792
10,7,8,2,224,228,1803,53.78403716,1,0,0,0,0,8/14/2022 10:27,32755
18,2,9,1,236,238,1799,86.90891916,0,0,1,0,0,9/21/2021 18:27,21568
17,3,11,1,229,234,1748,20.36116648,0,0,0,1,1,11/9/2022 17:11,35744
12,1,6,0,228,233,1681,73.35336336,1,1,1,0,0,6/27/2022 12:25,31114
3,1,6,0,226,227,1822,90.28053086,1,1,1,1,1,6/5/2023 3:04,42847
7,5,7,0,214,222,1597,15.72556891,1,1,1,1,0,7/10/2020 7:44,6553
4,7,12,2,216,222,1944,47.0441293,1,0,0,1,0,12/5/2021 4:07,24116
0,4,2,2,231,232,1832,47.38946898,1,1,0,1,0,2/4/2021 0:27,13700
18,4,6,1,234,236,1875,10.62611315,0,0,1,1,1,6/11/2020 18:20,5575
1,4,9,2,230,230,1917,65.74921519,1,1,0,1,0,9/16/2021 1:05,21372
2,6,4,2,222,223,1674,42.03780177,0,1,0,1,1,4/9/2022 2:12,28394
4,6,8,2,231,232,1815,18.91735287,0,1,0,0,0,8/28/2021 4:22,20726
0,3,5,0,222,227,1535,64.9368478,1,1,1,1,0,5/26/2021 0:14,17501
2,4,4,1,223,228,1590,28.10376519,0,1,1,1,1,4/1/2021 2:00,15620
