Datetime,Transaction_ID,Television,Dryer,Oven,Refrigerator,Microwave,Line Voltage,Voltage,Apparent Power,Energy Consumption (kWh),Month,Day of the Week,Hour of the Day,Offloading Decision
4/25/2023 22:03,41470,1,1,0,0,1,230,224,1789,68.69274632,April,Tuesday,22,Local
10/18/2022 16:04,34989,0,1,1,0,0,222,217,1824,15.55450685,October,Tuesday,16,Local
4/24/2023 4:42,41411,0,1,0,0,1,235,227,1898,56.84244201,April,Monday,4,Local
6/24/2022 12:14,31011,1,0,1,0,0,230,225,1774,78.86872415,June,Friday,12,Local
9/9/2023 5:27,46138,0,0,1,0,0,221,219,1944,74.88227699,September,Saturday,5,Local
5/9/2020 2:59,4423,0,0,0,1,1,225,220,1879,86.28554276,May,Saturday,2,Local
3/3/2023 19:16,39651,0,0,0,1,0,232,232,1518,59.97531896,March,Friday,19,Local
3/23/2020 8:17,2821,1,1,1,1,1,222,213,1610,82.75525017,March,Monday,8,Local
10/23/2022 2:36,35141,0,1,0,0,0,222,214,1580,16.894757,October,Sunday,2,Local
5/18/2021 14:14,17247,0,0,1,0,1,239,236,1760,14.25525573,May,Tuesday,14,Local
6/19/2022 5:23,30830,0,0,0,0,0,229,227,1956,35.6335031,June,Sunday,5,Local
4/2/2023 4:17,40657,0,1,0,0,1,222,213,1583,39.84072566,April,Sunday,4,Local
11/3/2023 6:29,48023,0,1,0,1,0,224,223,1609,10.54440074,November,Friday,6,Local
6/10/2020 17:48,5540,0,0,0,1,0,227,227,1977,45.02970692,June,Wednesday,17,Local
9/1/2023 1:13,45858,0,0,0,1,1,227,223,1691,97.49171377,September,Friday,1,Local
8/7/2021 1:40,20003,0,0,1,1,0,230,223,1993,11.1034307,August,Saturday,1,Local
3/4/2022 14:01,27178,0,1,0,1,1,231,230,1899,59.38852724,March,Friday,14,Local
11/29/2023 21:37,48935,0,1,0,1,1,226,219,1876,99.18942712,November,Wednesday,21,Local
8/6/2022 4:49,32473,1,0,0,1,0,230,221,1825,46.32170497,August,Saturday,4,Local
6/7/2021 15:41,17934,1,1,1,1,1,239,237,1596,79.88768766,June,Monday,15,Local
6/15/2021 17:07,18210,0,1,1,0,1,234,234,1737,18.54417017,June,Tuesday,17,Local
5/7/2021 23:50,16884,0,1,0,0,1,220,213,1850,15.13286569,May,Friday,23,Local
7/29/2022 0:36,32193,0,0,0,1,0,228,222,1932,85.33694159,July,Friday,0,Local
6/5/2023 5:52,42851,0,0,0,1,0,237,232,1757,87.26420641,June,Monday,5,Local
5/27/2022 18:28,30061,0,0,1,0,0,233,231,1761,48.6513684,May,Friday,18,Local
12/14/2020 6:36,11928,1,1,0,0,1,237,237,1589,65.5804731,December,Monday,6,Local
8/4/2023 6:45,44907,0,1,0,0,0,232,230,1835,10.59893474,August,Friday,6,Local
5/8/2020 12:58,4403,0,0,1,0,1,237,229,1698,29.73823826,May,Friday,12,Local
7/8/2020 12:16,6491,1,1,1,0,1,228,222,1753,60.93346558,July,Wednesday,12,Local
10/25/2021 18:54,22733,0,0,0,0,1,223,217,1906,19.46657506,October,Monday,18,Local
1/13/2021 3:32,12951,1,0,0,1,0,229,220,1577,62.2827048,January,Wednesday,3,Local
11/10/2022 19:49,35782,0,1,1,1,1,233,230,1818,62.4109562,November,Thursday,19,Local
7/22/2020 21:47,6984,0,0,0,1,1,234,225,1510,72.53014818,July,Wednesday,21,Local
6/29/2022 22:35,31197,1,1,0,0,0,220,220,1944,73.31970181,June,Wednesday,22,Local
2/28/2022 5:36,27029,0,1,1,0,1,233,224,1701,25.50959266,February,Monday,5,Local
9/24/2022 3:23,34149,1,1,0,1,0,225,221,1531,66.48110251,September,Saturday,3,Local
9/19/2022 23:10,34006,0,1,0,1,0,226,217,1757,55.12763916,September,Monday,23,Local
6/8/2021 5:00,17953,1,1,0,0,1,224,221,1539,54.60222225,June,Tuesday,5,Local
7/23/2023 7:25,44497,0,0,0,0,0,237,234,1946,62.7706629,July,Sunday,7,Local
9/14/2020 23:41,8836,1,1,1,1,1,225,220,1744,79.14521479,September,Monday,23,Local
2/8/2022 2:44,26340,1,1,1,1,0,220,217,1961,60.06843594,February,Tuesday,2,Local
8/6/2023 22:31,44998,1,0,1,0,1,221,218,1653,28.79236375,August,Sunday,22,Local
2/13/2022 9:35,26521,1,1,0,1,1,228,219,1671,95.49251938,February,Sunday,9,Local
10/28/2023 3:19,47813,1,0,0,1,1,221,218,1730,69.11149659,October,Saturday,3,Local
10/30/2021 23:38,22911,1,1,0,1,0,237,236,1850,39.40584394,October,Saturday,23,Local
4/29/2022 19:05,29103,1,0,0,0,1,235,230,1901,41.44927172,April,Friday,19,Local
10/25/2022 0:09,35206,1,1,0,1,1,226,223,1760,44.3115193,October,Tuesday,0,Local
8/24/2020 22:24,8115,1,0,0,1,1,238,229,1921,78.96821192,August,Monday,22,Local
2/25/2021 1:44,14421,0,1,0,1,1,233,233,1868,31.8985369,February,Thursday,1,Local
4/5/2021 6:55,15764,0,0,1,1,1,227,220,1713,95.77571375,April,Monday,6,Local
6/22/2020 12:14,5943,1,1,1,1,1,234,234,1602,94.24376185,June,Monday,12,Local
10/9/2022 12:01,34675,0,1,0,1,1,239,235,1799,20.67318504,October,Sunday,12,Local
5/27/2021 21:47,17566,1,0,0,1,0,224,220,1886,81.33631168,May,Thursday,21,Local
8/24/2022 6:38,33092,1,0,0,0,1,225,221,1678,51.1568632,August,Wednesday,6,Local
7/15/2023 23:30,44246,1,1,1,1,0,233,232,1990,80.86693776,July,Saturday,23,Local
6/2/2020 23:23,5274,0,1,1,0,0,233,226,1867,42.68406254,June,Tuesday,23,Local
5/10/2022 7:22,29463,1,0,1,1,1,223,217,1946,36.20729277,May,Tuesday,7,Local
9/27/2023 5:09,46754,1,0,1,1,1,222,215,1960,27.1142412,September,Wednesday,5,Local
4/17/2022 19:45,28693,0,0,1,1,0,238,231,1929,29.66931786,April,Sunday,19,Local
12/9/2021 23:45,24281,1,1,1,1,1,225,217,1654,88.17983878,December,Thursday,23,Local
8/10/2020 12:54,7622,1,1,0,1,1,235,229,1561,90.35500428,August,Monday,12,Local
5/29/2021 0:25,17604,0,0,1,0,0,239,238,1562,48.49682018,May,Saturday,0,Local
10/3/2023 11:07,46968,0,0,0,0,0,234,229,1787,50.27251217,October,Tuesday,11,Local
1/20/2022 6:00,25694,1,1,0,0,0,221,220,1544,52.36964684,January,Thursday,6,Local
11/21/2021 5:08,23638,0,0,1,1,1,238,237,1978,71.43243776,November,Sunday,5,Local
10/23/2022 6:06,35146,0,0,0,1,0,221,214,1828,36.5703743,October,Sunday,6,Local
6/9/2021 23:03,18013,1,1,0,1,0,234,227,1597,76.7208617,June,Wednesday,23,Local
2/19/2022 9:15,26726,0,0,0,0,1,230,223,1743,64.81633435,February,Saturday,9,Local
1/1/2021 14:01,12555,0,0,1,0,1,237,237,1943,59.05389663,January,Friday,14,Local
1/12/2020 11:25,394,1,0,1,1,0,231,224,1558,17.84200266,January,Sunday,11,Local
11/11/2020 7:23,10799,1,0,1,1,0,234,228,1862,54.27740933,November,Wednesday,7,Local
10/9/2020 7:28,9669,1,1,0,0,0,229,222,1664,74.26856687,October,Friday,7,Local
6/19/2022 21:30,30853,0,1,0,0,0,230,223,1532,60.59314199,June,Sunday,21,Local
10/15/2022 3:16,34868,1,0,1,0,1,221,219,1652,58.30309897,October,Saturday,3,Local
12/13/2022 23:57,36918,1,0,1,0,1,232,223,1739,46.58479739,December,Tuesday,23,Local
1/5/2022 23:18,25205,0,0,0,1,0,225,218,1760,21.83501006,January,Wednesday,23,Local
12/10/2021 13:46,24301,0,0,1,1,0,225,221,1650,59.87691659,December,Friday,13,Local
3/26/2020 4:58,2919,1,0,1,1,1,232,230,1606,80.4857999,March,Thursday,4,Local
7/17/2020 8:37,6794,1,1,0,0,1,236,227,1981,93.42584477,July,Friday,8,Local
3/25/2020 9:21,2891,0,0,1,1,0,220,216,1925,96.78151447,March,Wednesday,9,Local
2/17/2021 7:19,14155,1,0,0,0,0,238,229,1520,88.2502557,February,Wednesday,7,Local
4/16/2023 17:18,41155,0,1,1,0,0,222,220,1698,27.95305328,April,Sunday,17,Local
9/24/2023 5:40,46652,0,0,0,0,0,224,223,1547,18.79520997,September,Sunday,5,Local
8/8/2020 11:50,7552,1,1,1,1,1,220,212,1571,21.69474382,August,Saturday,11,Local
10/22/2021 16:37,22627,1,0,0,1,1,220,219,1549,92.430027,October,Friday,16,Local
12/24/2022 17:51,37286,1,0,1,1,0,237,228,1616,40.56207623,December,Saturday,17,Local
6/22/2023 19:46,43453,1,1,1,1,0,235,228,1893,78.14247174,June,Thursday,19,Local
6/7/2020 18:19,5438,0,1,0,1,1,223,219,1611,58.47352921,June,Sunday,18,Local
3/2/2022 12:57,27108,1,0,0,0,1,223,219,1964,17.48304112,March,Wednesday,12,Local
7/2/2021 0:52,18769,0,1,0,0,1,227,223,1746,71.22106493,July,Friday,0,Local
5/12/2021 22:58,17054,0,0,0,1,1,220,217,1740,47.76063983,May,Wednesday,22,Local
10/15/2023 2:03,47366,1,0,1,1,0,224,217,1901,70.48062116,October,Sunday,2,Local
11/23/2020 13:01,11218,1,0,1,1,1,232,230,1971,39.46578006,November,Monday,13,Local
6/30/2023 10:40,43714,0,0,0,0,1,238,235,1900,51.75069685,June,Friday,10,Local
10/5/2021 10:26,22036,0,0,0,1,0,233,233,1686,60.87348671,October,Tuesday,10,Local
9/29/2023 4:48,46822,1,1,0,1,0,229,222,1787,30.802844,September,Friday,4,Local
10/1/2020 9:32,9398,1,1,1,1,0,232,232,1883,66.63773275,October,Thursday,9,Local
1/24/2020 18:27,815,0,0,0,1,0,222,214,1854,99.35711974,January,Friday,18,Local
2/20/2023 9:57,39261,1,1,1,1,1,222,218,1946,16.41711207,February,Monday,9,Local
7/29/2021 8:08,19704,1,0,0,0,0,229,222,1509,30.91751421,July,Thursday,8,Local
8/28/2022 6:38,33229,0,0,1,1,1,220,220,1944,70.53655475,August,Sunday,6,Local
3/12/2023 23:19,39965,1,0,0,0,1,234,226,1967,14.56016278,March,Sunday,23,Local
4/17/2021 6:15,16174,0,1,0,0,0,236,233,1600,60.18996334,April,Saturday,6,Local
2/9/2023 17:27,38895,0,0,0,0,1,222,222,1853,93.1095873,February,Thursday,17,Local
2/1/2023 6:55,38606,0,1,1,1,1,220,220,1581,58.63261695,February,Wednesday,6,Local
3/23/2021 9:52,15323,0,1,0,0,1,238,237,1693,77.05320218,March,Tuesday,9,Local
1/25/2020 3:34,828,1,1,1,1,1,231,224,1786,41.94058819,January,Saturday,3,Local
4/7/2020 0:06,3323,1,0,0,1,0,237,234,1757,40.26989651,April,Tuesday,0,Local
7/5/2020 19:06,6398,0,0,1,0,1,236,235,1586,93.89907627,July,Sunday,19,Local
10/27/2021 17:51,22800,0,1,1,0,1,221,221,1607,32.1745133,October,Wednesday,17,Local
4/26/2021 22:14,16505,1,1,0,1,1,224,221,1726,39.52223773,April,Monday,22,Local
7/7/2023 8:04,43950,1,1,0,0,0,235,227,1680,61.51639834,July,Friday,8,Local
11/4/2020 20:30,10578,1,0,1,1,0,224,216,1860,35.60401167,November,Wednesday,20,Local
6/24/2022 22:45,31026,1,1,0,0,1,225,220,1736,91.63127526,June,Friday,22,Local
7/19/2020 1:16,6852,1,1,0,0,1,238,236,1757,71.30728834,July,Sunday,1,Local
2/21/2021 19:14,14309,0,1,1,0,0,238,238,1834,29.58206691,February,Sunday,19,Local
8/29/2021 7:42,20765,0,0,1,0,1,233,225,1848,41.04990789,August,Sunday,7,Local
9/24/2022 23:43,34178,1,1,1,1,0,233,225,1887,91.03943071,September,Saturday,23,Local
1/17/2020 0:44,550,0,1,0,1,0,221,220,1829,17.46466885,January,Friday,0,Local
2/17/2021 6:37,14154,0,0,0,1,1,223,216,1823,90.41655225,February,Wednesday,6,Local
11/12/2023 4:14,48328,0,1,1,1,0,221,214,1802,72.8006285,November,Sunday,4,Local
1/6/2021 4:02,12712,0,0,1,0,0,225,224,1834,13.13926076,January,Wednesday,4,Local
11/25/2020 4:16,11274,0,0,1,0,0,228,222,1723,35.42596408,November,Wednesday,4,Local
6/23/2022 12:24,30977,1,0,0,1,0,234,231,1965,40.49161136,June,Thursday,12,Local
6/24/2020 16:05,6017,0,1,0,1,0,232,231,1931,13.52199327,June,Wednesday,16,Local
11/28/2020 0:15,11371,0,0,1,0,0,231,230,1564,17.28925313,November,Saturday,0,Local
10/11/2023 4:50,47233,1,0,0,0,0,235,232,1933,67.85994194,October,Wednesday,4,Local
11/19/2023 22:39,48594,0,0,0,0,1,222,221,1999,58.77144025,November,Sunday,22,Local
7/24/2023 7:56,44532,0,0,0,0,1,227,226,1669,93.33642932,July,Monday,7,Local
3/7/2023 9:28,39774,0,0,0,1,0,220,214,1705,26.02943596,March,Tuesday,9,Local
6/3/2020 4:17,5281,1,1,1,0,1,238,230,1628,73.94806663,June,Wednesday,4,Local
2/23/2020 11:53,1833,1,0,0,1,0,226,222,1633,90.69732359,February,Sunday,11,Local
5/8/2023 12:06,41901,1,1,0,0,0,235,227,1827,34.08066389,May,Monday,12,Local
7/4/2020 6:39,6346,0,0,0,0,1,227,218,1725,58.99358511,July,Saturday,6,Local
4/3/2020 9:12,3199,1,1,1,0,0,226,217,1777,26.68036728,April,Friday,9,Local
11/23/2021 0:35,23700,1,1,1,1,0,238,233,1960,15.4328898,November,Tuesday,0,Local
1/30/2020 12:31,1012,1,1,1,1,0,222,218,1752,84.28711109,January,Thursday,12,Local
12/30/2020 3:51,12472,0,0,1,0,1,231,229,1508,30.90076715,December,Wednesday,3,Local
3/6/2023 9:38,39740,0,1,1,1,1,238,229,1612,32.88811425,March,Monday,9,Local
3/8/2021 17:21,14820,1,1,1,1,1,224,216,1861,81.29046793,March,Monday,17,Local
2/7/2023 7:59,38813,0,1,0,1,1,231,226,1894,65.5397142,February,Tuesday,7,Local
5/7/2021 22:26,16882,0,1,0,1,0,236,235,1791,14.14454727,May,Friday,22,Local
9/21/2022 15:07,34063,0,0,1,1,0,233,232,1929,11.94523046,September,Wednesday,15,Local
3/19/2023 15:49,40194,1,1,0,1,0,220,213,1854,99.34045559,March,Sunday,15,Local
8/27/2020 13:28,8205,1,0,1,1,0,227,224,1593,40.71787762,August,Thursday,13,Local
2/28/2023 11:22,39537,0,1,1,0,0,237,229,1785,56.51160482,February,Tuesday,11,Local
3/27/2023 8:07,40457,0,0,1,1,0,236,232,1854,30.39536658,March,Monday,8,Local
7/3/2021 23:07,18835,0,1,0,0,0,231,227,1729,36.17171196,July,Saturday,23,Local
7/3/2023 4:33,43808,1,0,0,1,0,232,223,1812,67.65307766,July,Monday,4,Local
3/8/2021 9:39,14809,1,1,0,0,0,238,238,1510,66.71045103,March,Monday,9,Local
4/27/2021 5:14,16515,0,0,0,1,1,236,228,1538,72.73435348,April,Tuesday,5,Local
10/3/2021 5:52,21961,0,0,1,1,0,222,215,1529,31.8483125,October,Sunday,5,Local
7/28/2021 12:30,19676,0,1,1,0,1,225,217,1973,98.58974325,July,Wednesday,12,Local
11/14/2022 5:49,35899,0,1,1,1,0,225,219,1940,19.02135042,November,Monday,5,Local
10/1/2021 4:49,21891,1,1,0,0,0,229,226,1828,15.63423652,October,Friday,4,Local
6/8/2022 12:11,30463,0,0,0,0,1,227,221,1724,93.74190253,June,Wednesday,12,Local
9/11/2020 15:05,8721,0,0,0,0,0,229,227,1793,38.8549774,September,Friday,15,Local
2/4/2021 11:39,13716,1,0,1,0,0,227,220,1564,87.97440653,February,Thursday,11,Local
12/8/2022 15:42,36735,1,0,0,1,0,226,220,1788,85.97161058,December,Thursday,15,Local
1/10/2020 6:09,318,0,0,0,0,0,228,224,1895,26.96355421,January,Friday,6,Local
2/19/2022 4:20,26719,0,1,1,1,0,234,230,1567,83.60682639,February,Saturday,4,Local
1/13/2021 14:45,12967,0,1,0,1,1,238,232,1697,15.05266982,January,Wednesday,14,Local
5/30/2023 16:43,42661,0,1,0,0,1,221,219,1772,70.65109754,May,Tuesday,16,Local
4/7/2021 14:17,15843,0,0,0,1,1,237,235,1966,67.37423128,April,Wednesday,14,Local
5/28/2021 14:37,17590,0,1,0,1,0,227,223,1845,54.50462727,May,Friday,14,Local
7/4/2020 10:10,6351,0,0,0,0,1,229,223,1826,25.48593192,July,Saturday,10,Local
12/25/2021 21:42,24826,0,1,0,0,0,225,224,1895,78.63704848,December,Saturday,21,Local
8/25/2020 5:24,8125,0,0,1,0,1,221,215,1995,98.61540105,August,Tuesday,5,Local
12/12/2021 5:01,24357,0,1,0,0,0,230,228,1893,40.8619626,December,Sunday,5,Local
9/13/2021 21:56,21299,0,0,0,1,0,225,220,1599,34.42461911,September,Monday,21,Local
11/3/2021 22:57,23047,1,0,0,0,1,221,213,1954,41.80063017,November,Wednesday,22,Local
3/1/2020 21:11,2086,0,1,1,0,0,226,221,1746,16.75108532,March,Sunday,21,Local
8/13/2023 20:37,45235,1,1,0,1,1,227,225,1594,26.3491933,August,Sunday,20,Local
11/17/2023 18:47,48520,0,0,1,0,0,229,227,1942,53.98298698,November,Friday,18,Local
3/30/2023 4:48,40555,1,1,1,1,0,235,233,1883,70.22382781,March,Thursday,4,Local
4/24/2022 23:27,28938,0,0,0,1,0,235,228,1578,88.76743981,April,Sunday,23,Local
11/8/2023 19:38,48213,1,1,1,0,0,233,233,1798,71.93793572,November,Wednesday,19,Local
3/3/2023 8:45,39636,1,0,1,0,1,221,221,1649,52.33408312,March,Friday,8,Local
3/30/2020 21:48,3080,1,1,1,1,0,230,225,1871,46.75764248,March,Monday,21,Local
7/25/2022 6:54,32065,0,1,1,0,0,234,232,1950,75.23168621,July,Monday,6,Local
4/7/2023 2:43,40826,1,0,1,1,1,231,225,1854,43.86613055,April,Friday,2,Local
4/15/2022 22:54,28629,0,0,0,1,1,234,227,1544,79.87825336,April,Friday,22,Local
9/28/2023 23:54,46815,1,1,1,1,0,233,226,1768,62.0122317,September,Thursday,23,Local
4/13/2020 23:35,3562,0,0,0,1,1,230,224,1813,52.40076891,April,Monday,23,Local
10/17/2021 0:39,22433,1,1,0,1,1,222,213,1897,88.19298048,October,Sunday,0,Local
9/29/2021 15:40,21838,1,1,0,1,0,235,231,1527,15.02776709,September,Wednesday,15,Local
11/19/2021 4:05,23568,1,0,0,0,1,238,238,1656,21.95525668,November,Friday,4,Local
6/27/2021 10:50,18612,1,1,1,1,1,234,230,1939,71.71280067,June,Sunday,10,Local
7/6/2023 19:27,43932,0,1,1,0,1,223,214,1774,91.3429263,July,Thursday,19,Local
2/26/2021 0:51,14454,1,0,0,1,1,220,214,1669,41.0086757,February,Friday,0,Local
6/8/2022 6:35,30455,0,0,1,1,1,223,223,1731,56.06323626,June,Wednesday,6,Local
10/13/2020 8:10,9807,0,0,0,1,0,223,221,1865,87.9138098,October,Tuesday,8,Local
6/30/2021 6:49,18709,0,1,0,0,1,224,220,1975,35.37107699,June,Wednesday,6,Local
10/15/2022 10:59,34879,0,1,1,1,1,235,228,1633,33.76233265,October,Saturday,10,Local
11/8/2022 11:03,35701,1,1,1,1,0,229,224,1641,50.78199208,November,Tuesday,11,Local
5/12/2022 22:27,29553,0,0,0,1,1,221,221,1550,71.39491005,May,Thursday,22,Local
4/28/2021 6:28,16551,0,0,0,0,0,232,229,1682,51.02370999,April,Wednesday,6,Local
3/6/2022 16:28,27250,1,0,1,0,0,229,229,1824,65.26974447,March,Sunday,16,Local
8/23/2022 11:00,33064,1,0,1,0,1,236,227,1512,32.45302011,August,Tuesday,11,Local
12/17/2021 17:28,24546,1,0,0,0,1,235,230,1662,10.88820665,December,Friday,17,Local
3/26/2021 21:58,15443,1,0,1,1,0,234,230,1919,81.63609344,March,Friday,21,Local
5/28/2023 5:51,42577,1,0,1,1,0,220,214,1836,47.38472789,May,Sunday,5,Local
7/11/2020 13:10,6595,1,1,0,0,0,236,236,1648,12.30728035,July,Saturday,13,Local
11/20/2021 21:25,23627,0,0,0,1,1,231,226,1746,99.76882896,November,Saturday,21,Local
12/11/2020 8:31,11828,0,1,0,1,0,236,227,1769,70.61074778,December,Friday,8,Local
8/26/2021 6:49,20661,0,1,0,0,1,231,230,1932,53.7000564,August,Thursday,6,Local
11/28/2022 6:54,36380,0,1,1,0,0,228,220,1934,93.23011081,November,Monday,6,Local
12/20/2021 22:34,24656,0,0,0,1,0,234,225,1960,18.60781931,December,Monday,22,Local
7/29/2020 10:45,7208,1,1,0,1,1,231,227,1887,69.50147241,July,Wednesday,10,Local
8/27/2022 8:55,33198,1,0,1,1,0,234,229,1507,90.88902104,August,Saturday,8,Local
10/7/2022 10:58,34605,0,0,0,0,1,237,232,1777,68.42785094,October,Friday,10,Local
6/17/2023 1:00,43255,1,1,1,0,1,229,220,1853,39.79404021,June,Saturday,1,Local
8/4/2022 14:59,32419,1,1,1,0,1,239,231,1833,37.9347362,August,Thursday,14,Local
6/4/2023 22:10,42840,1,1,1,1,0,235,232,1556,85.40290277,June,Sunday,22,Local
5/3/2020 20:51,4243,1,0,0,0,1,226,223,1910,69.35343415,May,Sunday,20,Local
12/8/2022 7:59,36724,0,0,1,0,0,220,218,1766,63.56951819,December,Thursday,7,Local
2/5/2021 13:35,13753,0,0,1,1,0,237,237,1634,62.39018334,February,Friday,13,Local
4/24/2022 6:38,28914,0,0,0,0,0,222,214,1714,12.06144304,April,Sunday,6,Local
12/30/2021 0:31,24967,1,0,1,1,1,224,224,1619,95.3637803,December,Thursday,0,Local
5/10/2022 11:35,29469,1,0,1,0,1,233,231,1661,76.59373906,May,Tuesday,11,Local
6/23/2020 14:10,5980,0,0,1,0,0,228,228,1714,76.50077567,June,Tuesday,14,Local
1/23/2021 14:25,13309,1,0,0,1,1,239,233,1669,60.01143491,January,Saturday,14,Local
7/19/2020 22:18,6882,0,1,1,1,1,220,212,1920,19.15682321,July,Sunday,22,Local
3/5/2020 2:17,2196,0,1,0,0,1,223,215,1929,78.57558787,March,Thursday,2,Local
8/15/2021 22:01,20306,0,1,0,0,1,221,218,1897,17.95308157,August,Sunday,22,Local
1/19/2021 18:37,13178,0,0,1,1,0,229,225,1726,58.75723858,January,Tuesday,18,Local
10/12/2022 18:30,34787,0,1,1,0,1,220,220,1536,19.23674273,October,Wednesday,18,Local
1/11/2021 12:59,12896,1,0,0,1,0,238,234,1664,30.85458624,January,Monday,12,Local
7/25/2020 21:16,7086,1,0,1,1,0,225,222,1649,37.48009991,July,Saturday,21,Local
8/31/2021 4:33,20829,0,0,1,1,1,223,216,1954,47.20489708,August,Tuesday,4,Local
7/27/2023 2:31,44627,0,0,1,0,0,232,226,1976,51.85674434,July,Thursday,2,Local
5/28/2022 14:47,30090,1,0,1,1,0,238,238,1800,34.90498043,May,Saturday,14,Local
1/2/2021 5:26,12577,1,1,0,1,0,221,218,1576,86.81383625,January,Saturday,5,Local
2/25/2020 10:50,1900,1,1,1,0,1,232,224,1556,97.92888274,February,Tuesday,10,Local
10/6/2020 5:53,9564,1,1,1,1,1,233,230,1913,69.96004296,October,Tuesday,5,Local
11/18/2020 4:04,11034,1,1,0,0,0,227,224,1768,85.14365897,November,Wednesday,4,Local
7/31/2021 23:12,19794,0,1,0,0,1,225,224,1758,40.18058897,July,Saturday,23,Local
5/15/2022 21:56,29655,0,0,1,1,0,227,218,1638,30.67155792,May,Sunday,21,Local
12/6/2022 7:38,36655,1,1,1,0,0,224,224,1785,40.7951065,December,Tuesday,7,Local
1/2/2023 7:53,37580,0,0,0,0,1,231,226,1899,42.59852424,January,Monday,7,Local
12/24/2021 2:57,24765,1,0,1,1,1,238,230,1980,80.4573063,December,Friday,2,Local
10/28/2023 4:43,47815,1,0,0,0,1,230,224,1745,96.95533953,October,Saturday,4,Local
